cdr_id,calling_number,called_number,imsi,imei,start_time,end_time,duration_seconds,call_type,call_direction,call_status,tower_id,lac,cell_id,latitude,longitude,city,network_type,roaming_status,operator,billing_type,charge_amount,action,application
c841e692-5058-478d-9175-dac0b5d7d397,user_1,+497602831841,995409907832731,974362055149605,2025-07-14 08:52:17,2025-07-14 09:01:25,302,SMS,Incoming,Completed,6382,131,2585,19.084258,72.877198,Mumbai,2G,Home,OperatorB,Postpaid,5.19,ALLOW,HTTPS
e6c95769-e5fb-43de-b1f0-7453a18445ae,user_1,+337197528186,688663545644173,450766391833510,2025-07-14 08:56:17,2025-07-14 09:03:47,450,Voice,Outgoing,Completed,6793,119,4918,19.078096,72.874763,Mumbai,3G,Home,OperatorC,Prepaid,5.42,ALLOW,HTTP
3a075578-3fdf-4c3e-86b1-0fecfd07896f,user_1,+918170847951,802143463969234,816327919699422,2025-07-14 08:56:17,2025-07-14 08:57:26,69,Voice,Incoming,Completed,8861,872,2396,19.079777,72.868534,Mumbai,5G,Home,OperatorC,Prepaid,2.7,ALLOW,HTTP
406b7096-70a3-470b-a79a-9101b1732f7c,user_1,+447955281630,621541598919627,273423189037023,2025-07-14 05:49:22,2025-07-14 08:57:25,128,Voice,Outgoing,Completed,5306,616,8205,19.085589,72.884486,Mumbai,4G,Roaming,OperatorC,Postpaid,17.54,ALLOW,HTTP
02fc3f4f-5607-4725-8783-874952afad9b,user_1,+18993494571,576388367950901,999976892357415,2025-07-14 08:45:59,2025-07-14 08:52:01,362,SMS,Incoming,Completed,3214,231,2036,48.853417,2.349798,Paris,4G,Roaming,OperatorD,Postpaid,0.81,ALLOW,SSH
0ad6ff97-eb84-4902-a8ba-1ed9b7b4e50f,user_1,+918244578356,220373458946733,781732983260545,2025-07-14 08:47:59,2025-07-14 08:56:00,481,Voice,Incoming,Failed,4336,247,1760,48.860336,2.344792,Paris,4G,Roaming,OperatorB,Postpaid,8.94,ALLOW,DNS
d6d1f4c8-7ace-479f-98a6-dae45f2c9a74,user_1,+447270519416,728635724481035,143730670808233,2025-07-14 22:52:20,2025-07-14 08:56:48,409,Voice,Outgoing,Completed,7685,502,3727,48.856254,2.353366,Paris,4G,Roaming,OperatorB,Prepaid,19.09,ALLOW,HTTP
967f01ce-1f71-42e3-aedb-586f494d5cb6,user_1,+449963867889,501749615863349,919808352467358,2025-07-14 08:54:59,2025-07-14 09:00:21,322,Video,Incoming,Completed,1423,764,4303,48.848416,2.353457,Paris,4G,Home,OperatorD,Postpaid,1.53,ALLOW,HTTP
77960397-57ea-45a7-a7c7-41c444905651,user_1,+497589551838,924731416139457,214119416630075,2025-07-14 12:08:50,2025-07-14 12:13:09,259,Voice,Incoming,Completed,7799,121,1544,33.455038,-112.065845,Phoenix,5G,Home,OperatorB,Prepaid,8.85,ALLOW,HTTP
a0124828-7bc9-43dd-92c0-8f94245027c3,user_1,+447776643554,335407858319995,830751080236651,2025-07-14 05:11:03,2025-07-14 12:19:12,442,Voice,Outgoing,Completed,8532,717,9362,33.449347,-112.081066,Phoenix,4G,Roaming,OperatorC,Postpaid,17.26,ALLOW,HTTP
8d87164a-7153-4893-9b9a-bd09d95d2220,user_1,+917275060365,566783836832240,956703933036167,2025-07-14 12:10:50,2025-07-14 12:13:42,172,Video,Incoming,Completed,5771,332,5928,33.457656,-112.083468,Phoenix,3G,Home,OperatorA,Postpaid,1.06,ALLOW,SSH
bfd7cbe6-159f-4d26-9213-20d8e6186a34,user_1,+339743139204,783192721418448,990251279004086,2025-07-14 12:11:50,2025-07-14 12:17:41,351,Voice,Outgoing,Completed,9358,126,2734,33.44564,-112.073141,Phoenix,3G,Home,OperatorB,Postpaid,5.92,ALLOW,FTP
