sms_id,user_id,session_id,timestamp,src_number,dst_number,status,action,application
65b0e6b8-70c1-43de-940b-c81744edca0c,user_1,76309621-7628-4c88-886c-0c723821e5fb,2025-07-14 08:52:17,user_1,+919214313539,Delivered,DENY,CustomApp
4bd1a36a-a366-4d26-a901-1f60cd1d8e8b,user_1,76309621-7628-4c88-886c-0c723821e5fb,2025-07-14 08:54:17,user_1,+447780295953,Delivered,ALLOW,DNS
c794bade-6cda-46bd-b71a-702d13ffffff,user_1,76309621-7628-4c88-886c-0c723821e5fb,2025-07-14 08:54:17,user_1,+919666178547,Delivered,ALLOW,SSH
e23a96b8-b3ea-48c6-886a-9ed5bc114b35,user_1,76309621-7628-4c88-886c-0c723821e5fb,2025-07-14 01:59:54,user_1,+18210766151,Failed,DENY,SMS
ca2f5410-25bf-4a11-b6ee-6494d3bd394f,user_1,58f28fe7-1bb8-4cb3-b241-2165c7860f61,2025-07-14 08:45:59,user_1,+918180875038,Delivered,ALLOW,HTTPS
7818397e-1ae4-46e1-ad83-a3c0c5ecfca2,user_1,58f28fe7-1bb8-4cb3-b241-2165c7860f61,2025-07-14 08:47:59,user_1,+18286129406,Delivered,ALLOW,HTTPS
b6fc3d76-b9bc-4659-831f-d55e461f8290,user_1,58f28fe7-1bb8-4cb3-b241-2165c7860f61,2025-07-14 18:28:42,user_1,+498755244567,Failed,DENY,SMS
1c6cc23e-b48e-4db8-beba-c2c8cbcf78f5,user_1,58f28fe7-1bb8-4cb3-b241-2165c7860f61,2025-07-14 08:51:59,user_1,+917316165036,Delivered,DENY,SMTP
71c32f6e-2a49-4814-b79c-2c9fc7143268,user_1,e674145a-48da-4dae-a0f5-bd3fe6d08a31,2025-07-14 12:08:50,user_1,+447800866374,Delivered,ALLOW,SSH
de2b9738-7f1b-4d40-8e6c-1e0efc91592a,user_1,e674145a-48da-4dae-a0f5-bd3fe6d08a31,2025-07-14 03:47:35,user_1,+339426144382,Failed,DENY,SMS
c9eb74fc-7b75-4d5c-933c-461606806ef6,user_1,e674145a-48da-4dae-a0f5-bd3fe6d08a31,2025-07-14 12:14:50,user_1,+917693535512,Delivered,ALLOW,FTP
ea8defee-24e1-48ea-a5c8-7893eccb2ebc,user_1,e674145a-48da-4dae-a0f5-bd3fe6d08a31,2025-07-14 12:20:50,user_1,+499944663354,Delivered,ALLOW,HTTP
77b32fca-528c-455a-863d-f158aa97106e,user_1,6cd20dcb-161b-44a5-858b-d40592f168c6,2025-07-14 11:38:24,user_1,+339917898655,Delivered,DENY,HTTPS
8392217e-6620-4905-b171-d2bb1a671fe4,user_1,6cd20dcb-161b-44a5-858b-d40592f168c6,2025-07-14 11:42:24,user_1,+499758472635,Delivered,ALLOW,SMTP
f2b560bd-7f0b-4e9e-92b1-3fcd9a5ce16d,user_1,6cd20dcb-161b-44a5-858b-d40592f168c6,2025-07-14 11:46:24,user_1,+499500010185,Delivered,ALLOW,HTTP
b74b401c-ee6e-4db8-b692-254f93e156d7,user_1,6cd20dcb-161b-44a5-858b-d40592f168c6,2025-07-14 08:58:04,user_1,+917040466447,Failed,DENY,SMS
1dd9da67-0b70-492e-ba7d-2539b89029c1,user_1,c6a456db-33a0-4e07-8fc2-2c1dba917f10,2025-07-14 14:07:33,user_1,+917063780270,Delivered,ALLOW,DNS
533d7bc0-b76a-4d89-bb23-ccd7f29eb15e,user_1,c6a456db-33a0-4e07-8fc2-2c1dba917f10,2025-07-14 11:04:10,user_1,+498434972926,Failed,DENY,SMS
c0a7ef48-8b41-4603-8f68-80853d096add,user_1,c6a456db-33a0-4e07-8fc2-2c1dba917f10,2025-07-14 14:09:33,user_1,+449788592523,Delivered,ALLOW,HTTP
ef444882-b778-430d-96f7-bb0da3960d56,user_1,c6a456db-33a0-4e07-8fc2-2c1dba917f10,2025-07-14 14:19:33,user_1,+917843987288,Failed,ALLOW,DNS
bdc6e627-3726-4af0-9375-87d654a8dd23,user_1,56f43425-8ab2-4610-b10d-8fe5f6e3b349,2025-07-14 08:35:49,user_1,+18590947070,Delivered,ALLOW,SMTP
ad9ee582-2c3f-42b5-8ad2-5af3fe1cad1d,user_1,56f43425-8ab2-4610-b10d-8fe5f6e3b349,2025-07-14 22:03:36,user_1,+337685912073,Failed,DENY,SMS
eaee2488-17bd-4c79-97fb-5e981738f247,user_1,56f43425-8ab2-4610-b10d-8fe5f6e3b349,2025-07-14 08:43:49,user_1,+337176792069,Delivered,ALLOW,SSH
75176826-eb23-41f4-a27c-cb4949fe2338,user_1,56f43425-8ab2-4610-b10d-8fe5f6e3b349,2025-07-14 08:38:49,user_1,+338224902673,Delivered,ALLOW,HTTPS
cf45a130-ae82-42c5-b9e7-9d1775e7e1bd,user_2,fab01a56-6ab8-4d5c-a365-4aafe9f259c1,2025-07-14 12:36:00,user_2,+918433221589,Delivered,ALLOW,HTTP
2bbd6d33-617e-4c78-99c6-17ae7ee6aab1,user_2,fab01a56-6ab8-4d5c-a365-4aafe9f259c1,2025-07-14 12:38:00,user_2,+18372992103,Delivered,ALLOW,SSH
3424ef62-4b80-4824-a3d5-c8dfed868a50,user_2,fab01a56-6ab8-4d5c-a365-4aafe9f259c1,2025-07-14 04:24:02,user_2,+497604688000,Failed,DENY,SMS
